
3,1,6901,455335,0,17168,17978102,0
3,2,5,300,0,8233,8468485,0
3,3,3,180,0,8234,8468545,0
3,4,17169,17978162,0,6903,455455,0
3,4294967294,0,0,0,0,0,0
2,1,6070,400549,0,8220,8458705,0
2,2,6035,398179,0,8232,8468425,0
2,3,4,240,0,289,17286,0
2,4,4,240,0,290,17346,0
2,5,16164,16909904,0,12107,798848,0
2,4294967294,0,0,0,0,0,0
1,1,24846,26444571,0,19294,1271343,0
1,2,0,0,0,16164,16909904,0
1,3,0,0,0,16165,16909964,0
1,4,4,240,0,16165,16909964,0
1,5,7,420,0,16164,16909904,0
1,6,19293,1271283,0,24815,26402481,0
1,4294967294,0,0,0,0,0,0
4,1,0,0,0,8233,8468485,0
4,2,0,0,0,8231,8468365,0
4,3,3,180,0,8231,8468365,0
4,4,6,360,0,8233,8468485,0
4,5,8234,8468545,0,2,120,0
4,4294967294,0,0,0,0,0,0
5,1,16165,16909964,0,4,240,0
5,2,289,17286,0,4,240,0
5,3,8233,8468485,0,5,300,0
5,4,8231,8468365,0,3,180,0
5,4294967294,0,0,0,0,0,0
6,1,16164,16909904,0,7,420,0
6,2,290,17346,0,4,240,0
6,3,8234,8468545,0,3,180,0
6,4,8233,8468485,0,6,360,0
6,4294967294,0,0,0,0,0,0
7,1,24815,26402481,0,19293,1271283,0
7,2,12107,798848,0,16164,16909904,0
7,3,6903,455455,0,17169,17978162,0
7,4,2,120,0,8234,8468545,0
7,4294967294,0,0,0,0,0,0
1,1,25614,27346259,0,19925,1313253,0
1,2,0,0,0,16510,17324740,0
1,3,0,0,0,16511,17324800,0
1,4,4,240,0,16511,17324800,0
1,5,7,420,0,16510,17324740,0
1,6,19924,1313193,0,25620,27306611,0
1,4294967294,0,0,0,0,0,0
5,1,16511,17324800,0,4,240,0
5,2,289,17286,0,4,240,0
5,3,8381,8649253,0,5,300,0
5,4,8379,8649133,0,3,180,0
5,4294967294,0,0,0,0,0,0
4,1,0,0,0,8381,8649253,0
4,2,0,0,0,8379,8649133,0
4,3,3,180,0,8379,8649133,0
4,4,6,360,0,8381,8649253,0
